type		NYS Code	Octal Code		SpoDB3 -Most probable family	Random-Initalized -Most probable family
		S01001	777737777700000		M. tuberculosis T2	Family N23
		S01002	777763770000000		Family34	Family N22
		S01003	777737760000151		M. tuberculosis Haarlem1	Family N5
		S01004	000000007760770		Family36	Family N32
		S01005	777537777420771		M. tuberculosis Haarlem3	Family N34
		S01006	574077607777071		M. africanum	Family N17
		S01007	703776600003771		M. tuberculosis CAS	Family N8
		S01008	777777400020771		M. tuberculosis LAM8	Family N27
		S01009	477777774000071		M. tuberculosis Haarlem1	Family N5
		S01010	777777776000071		M. tuberculosis Haarlem1	Family N5
		S01011	777777743460771		M. tuberculosis LAM10	Family N21
		S01012	703777740002771		M. tuberculosis CAS	Family N8
		S01013	777777377740371		M. tuberculosis T1	Family N24
		S01014	600000077413771		M. tuberculosis EAI2	Family N40
		S01015	674000000000171		M. tuberculosis LAM7	Family N29
		S01016	777717761720771		M. tuberculosis Haarlem3	Family N24
		S01017	777777747413371		M. tuberculosis EAI5	Family N14
		S01018	777777607600171		M. tuberculosis LAM9	Family N19
		S01019	777777777020771		M. tuberculosis Haarlem3	Family N34
		S01020	577777777720771		M. tuberculosis Haarlem3	Family N24
		S01021	777417777400000		M. tuberculosis T2	Family N23
		S01022	757777777413731		M. tuberculosis EAI5	Family N14
		S01023	677777607760071		M. tuberculosis LAM1	Family N19
		S01024	277737607760771		M. tuberculosis LAM2	Family N19
		S01025	741703777760771		M. tuberculosis T1	Family N24
		S01026	777737037760771		M. tuberculosis H37Rv	Family N24
		S01027	603777740000771		M. tuberculosis CAS	Family N8
		S01028	677777777413671		M. tuberculosis EAI5	Family N14
		S01029	774777377420771		M. tuberculosis Haarlem3	Family N34
		S01030	777737407777731		Family33	Family N13
		S01031	777756777760731		M. tuberculosis X1	Family N44
		S01032	577677606060771		M. tuberculosis LAM8	Family N27
		S01033	700037000020700		M. tuberculosis LAM7	Family N37
		S01034	777777207600331		M. tuberculosis LAM9	Family N19
		S01035	777737607760371		M. tuberculosis LAM9	Family N19
		S01036	377777607760771		M. tuberculosis LAM9	Family N19
		S01037	703337400001771		M. tuberculosis CAS	Family N15
		S01038	601777606060771		M. tuberculosis LAM8	Family N27
		S01039	677777607760731		M. tuberculosis LAM1	Family N19
		S01040	777776607760771		M. tuberculosis LAM9	Family N19
		S01041	777417607760700		M. tuberculosis LAM9	Family N19
		S01042	777637777413771		M. tuberculosis EAI5	Family N14
		S01043	777600777720771		M. tuberculosis Haarlem3	Family N24
		S01044	503777000003771		M. tuberculosis CAS	Family N15
		S01045	777740000000000		Family35	Family N29
		S01046	776177777760771		M. tuberculosis S	Family N39
		S01047	677777747760731		M. tuberculosis T1	Family N24
		S01048	777777777600071		M. tuberculosis Haarlem3	Family N24
		S01049	777777770000771		M. tuberculosis Haarlem1	Family N5
		S01050	777377757413371		M. tuberculosis EAI5	Family N14
		S01051	277775477413771		M. tuberculosis EAI2	Family N10
		S01052	777777607460771		M. tuberculosis LAM9	Family N19
		S01053	777737770000000		Family34	Family N22
		S01054	376377777420770		M. tuberculosis S	Family N34
		S01055	777700077760600		M. tuberculosis X2	Family N6
		S01056	677317607760771		M. tuberculosis LAM2	Family N19
		S01057	777737700020731		M. tuberculosis LAM8	Family N27
		S01058	777777763560731		M. tuberculosis T1	Family N24
		S01059	777777777700131		M. tuberculosis Haarlem3	Family N24
		S01060	757703777760731		M. tuberculosis T1	Family N48
		S01061	767776377003731		M. tuberculosis EAI5	Family N14
		S01062	700000000003771		Family36	Family N15
		S01063	000000004020731		M. tuberculosis Haarlem2	Family N25
		S01064	703777700003771		M. tuberculosis CAS	Family N8
		S01065	776177607760471		M. tuberculosis LAM3	Family N2
		S01066	763777607560771		M. tuberculosis LAM9	Family N19
		S01067	776377777760611		M. tuberculosis S	Family N39
		S01068	777737747413771		M. tuberculosis EAI5	Family N14
		S01069	776777777720771		M. tuberculosis Haarlem3	Family N24
		S01070	776321777760771		M. tuberculosis S	Family N39
		S01071	737637400020771		M. tuberculosis LAM8	Family N27
		S01072	677777207760771		M. tuberculosis LAM1	Family N19
		S01073	000000000003740		M. tuberculosis Beijing	Family N3
		S01074	777777607760671		M. tuberculosis LAM9	Family N19
		S01075	777777604020771		M. tuberculosis LAM8	Family N27
		S01076	777377347760400		M. tuberculosis T2	Family N30
		S01077	674000000000071		M. tuberculosis LAM7	Family N29
		S01078	777777607760411		M. tuberculosis LAM9	Family N19
		S01079	777777600000000		Family34	Family N22
		S01080	777770177413700		M. tuberculosis EAI5	Family N14
		S01081	776777607760731		M. tuberculosis LAM9	Family N19
		S01082	777376777760771		M. tuberculosis X1	Family N44
		S01083	777577607760771		M. tuberculosis LAM9	Family N19
		S01084	017777777320771		M. tuberculosis Haarlem3	Family N24
		S01085	777777760160731		M. tuberculosis T1	Family N24
		S01086	477774777413071		M. tuberculosis EAI3	Family N1
		S01087	077577757003371		M. tuberculosis EAI5	Family N47
		S01088	777775774413771		M. tuberculosis EAI4	Family N14
		S01089	477777607760771		M. tuberculosis LAM1	Family N19
		S01090	770777507777671		M. africanum	Family N18
		S01091	770737777777671		M. africanum	Family N18
		S01092	777737777413701		M. tuberculosis EAI5	Family N14
		S01093	677777777760730		M. tuberculosis T1	Family N24
		S01094	777777177413371		M. tuberculosis EAI5	Family N14
		S01095	677777607760711		M. tuberculosis LAM1	Family N19
		S01096	777777340020771		M. tuberculosis Haarlem1	Family N5
		S01097	777776777600171		M. tuberculosis Haarlem3	Family N24
		S01098	740777607760771		M. tuberculosis LAM9	Family N19
		S01099	777777777720671		M. tuberculosis Haarlem3	Family N24
		S01100	717777777413700		M. tuberculosis EAI5	Family N14
		S01101	177777777760731		M. tuberculosis T1	Family N24
		S01102	777777737760771		M. tuberculosis T1	Family N24
		S01103	777777777160771		M. tuberculosis T1	Family N24
		S01104	777777757767771		Family33	Family N13
		S01105	777776607760700		M. tuberculosis LAM9	Family N19
		S01106	703777744034771		Family33	Family N42
		S01107	677767477403631		M. tuberculosis EAI2	Family N10
		S01108	774077007777071		M. africanum	Family N17
		S01109	700076750000071		M. tuberculosis X3	Family N20
		S01110	760000007760771		M. tuberculosis T3	Family N32
		S01111	000000000003600		M. tuberculosis Beijing	Family N3
		S01112	736177607760741		M. tuberculosis LAM3	Family N2
		S01113	777417777760731		M. tuberculosis T1	Family N48
		S01114	777774077560731		M. tuberculosis H37Rv	Family N44
		S01115	777377774020771		M. tuberculosis Haarlem1	Family N5
		S01116	770740777777671		M. africanum	Family N18
		S01117	003777740003771		M. tuberculosis CAS	Family N8
		S01118	703777400001771		M. tuberculosis CAS	Family N15
		S01119	776174000060771		M. tuberculosis LAM8	Family N27
		S01120	700775747413771		M. tuberculosis EAI5	Family N42
		S01121	777737767760771		M. tuberculosis T1	Family N24
		S01122	777777760060771		M. tuberculosis Haarlem1	Family N5
		S01123	703777747770371		M. tuberculosis T1	Family N42
		S01124	477777277413771		M. tuberculosis EAI5	Family N47
		S01125	777777777413071		M. tuberculosis EAI5	Family N14
		S01126	477673777410771		M. tuberculosis EAI5	Family N47
		S01127	656773777777600		M. bovis-BCG	Family N7
		S01128	700036777400071		M. tuberculosis X3	Family N20
		S01129	577777000000011		M. tuberculosis EAI1	Family N29
		S01130	000002777760731		M. tuberculosis X3	Family N20
		S01131	454000003413661		M. tuberculosis EAI2	Family N41
		S01132	674000003413710		M. tuberculosis EAI2	Family N41
		S01133	777773607760771		M. tuberculosis LAM9	Family N19
		S01134	677777777760771		M. tuberculosis T1	Family N24
		S01135	777777640000000		Family34	Family N22
		S01136	777777604360771		M. tuberculosis LAM9	Family N19
		S01137	777777437720771		M. tuberculosis H37Rv	Family N24
		S01138	737777777760631		M. tuberculosis T1	Family N24
		S01139	737737777760731		M. tuberculosis T1	Family N48
		S01140	761777777760731		M. tuberculosis T1	Family N24
		S01141	777777034020771		M. tuberculosis Haarlem1	Family N5
		S01142	777767777413631		M. tuberculosis EAI5	Family N14
		S01143	777347777413671		M. tuberculosis EAI5	Family N14
		S01144	736177607700171		M. tuberculosis LAM3	Family N2
		S01145	770077637760731		M. tuberculosis S	Family N39
		S01146	776000607760771		M. tuberculosis T3	Family N28
		S01147	777740004720771		M. tuberculosis T4	Family N16
		S01148	003777740002771		M. tuberculosis CAS	Family N8
		S01149	763777777760771		M. tuberculosis T1	Family N24
		S01150	777776777420771		M. tuberculosis Haarlem3	Family N34
		S01151	777777677760700		M. tuberculosis T2	Family N30
		S01152	737776777760601		M. tuberculosis X2	Family N6
		S01153	777737774403431		M. tuberculosis EAI4	Family N14
		S01154	777770607760771		M. tuberculosis LAM9	Family N19
		S01155	737377677760771		M. tuberculosis T1	Family N24
		S01156	776177607560771		M. tuberculosis LAM3	Family N2
		S01157	664073777700600		M. bovis-BCG	Family N12
		S01158	777737606060731		M. tuberculosis LAM8	Family N27
		S01159	616733777777600		M. bovis-BCG	Family N7
		S01160	666772057777200		M. bovis-BCG	Family N7
		S01161	777777775760771		M. tuberculosis T1	Family N24
		S01162	477774200013071		M. tuberculosis EAI3	Family N1
		S01163	777777776760771		M. tuberculosis T1	Family N24
		S01164	703777744037771		Family33	Family N42
		S01165	776377777760071		M. tuberculosis S	Family N39
		S01166	777137777760731		M. tuberculosis T1	Family N48
		S01167	777347777763671		Family33	Family N13
		S01168	750037747760471		M. tuberculosis S	Family N39
		S01169	763777777760731		M. tuberculosis T1	Family N24
		S01170	077737777413771		M. tuberculosis EAI5	Family N47
		S01171	777776207760771		M. tuberculosis LAM9	Family N19
		S01172	700000000000371		Family35	Family N25
		S01173	777777347760400		M. tuberculosis T2	Family N30
		S01174	400777777620731		M. tuberculosis Haarlem3	Family N24
		S01175	776177770000000		Family34	Family N22
		S01176	777777777720770		M. tuberculosis Haarlem3	Family N24
		S01177	777777774020751		M. tuberculosis Haarlem1	Family N5
		S01178	737777777760731		M. tuberculosis T1	Family N24
		S01179	757777637760771		M. tuberculosis T1	Family N24
		S01180	777774063560771		M. tuberculosis H37Rv	Family N44
		S01181	777777674020371		M. tuberculosis Haarlem1	Family N5
		S01182	777603607400011		M. tuberculosis EAI1	Family N23
		S01183	777777737760731		M. tuberculosis T1	Family N24
		S01184	777776777060771		M. tuberculosis X1	Family N44
		S01185	777777601760771		M. tuberculosis LAM9	Family N19
		S01186	777777607760761		M. tuberculosis LAM9	Family N19
		S01187	674777470001771		M. tuberculosis EAI2	Family N10
		S01188	757740005720771		M. tuberculosis T4	Family N16
		S01189	777603405760471		M. tuberculosis LAM9	Family N19
		S01190	757777777760571		M. tuberculosis T1	Family N24
		S01191	777773377760771		M. tuberculosis T1	Family N24
		S01192	677777777413771		M. tuberculosis EAI5	Family N14
		S01193	777377706001371		M. tuberculosis EAI5	Family N14
		S01194	574077607177071		M. africanum	Family N17
		S01195	000003777377600		M. bovis-BCG	Family N12
		S01196	000000000003151		M. tuberculosis Beijing	Family N3
		S01197	000000007720731		Family36	Family N32
		S01198	677777770020771		M. tuberculosis Haarlem1	Family N5
		S01199	701777740003771		M. tuberculosis CAS	Family N8
		S01200	017700007702400		M. tuberculosis T4	Family N16
		S01201	776377777400071		M. tuberculosis S	Family N34
		S01202	000000007400000		Family36	Family N32
		S01203	777737606060771		M. tuberculosis LAM8	Family N27
		S01204	777737607760711		M. tuberculosis LAM9	Family N19
		S01205	777777777761771		M. tuberculosis T1	Family N13
		S01206	777777777760131		M. tuberculosis T1	Family N24
		S01207	776377777413731		M. tuberculosis EAI5	Family N14
		S01208	776177607020771		M. tuberculosis LAM3	Family N2
		S01209	777777777760411		M. tuberculosis T1	Family N24
		S01210	577777776000371		M. tuberculosis Haarlem1	Family N5
		S01211	077773477413771		M. tuberculosis EAI2	Family N10
		S01212	477017777413071		M. tuberculosis EAI3	Family N1
		S01213	477776077411171		M. tuberculosis EAI2	Family N10
		S01214	740177777013731		M. tuberculosis EAI5	Family N14
		S01215	777777757760731		M. tuberculosis T1	Family N24
		S01216	777776777600000		M. tuberculosis T2	Family N23
		S01217	777177777760771		M. tuberculosis T1	Family N24
		S01218	700377700003771		M. tuberculosis CAS	Family N8
		S01219	777736777560731		M. tuberculosis X1	Family N44
		S01220	640013776377600		M. bovis-BCG	Family N12
		S01221	736300000020771		M. tuberculosis T4	Family N16
		S01222	703777347760471		M. tuberculosis T1	Family N42
		S01223	637403607760671		M. tuberculosis LAM2	Family N19
		S01224	777777607400371		M. tuberculosis LAM9	Family N19
		S01225	700036776760771		M. tuberculosis X3	Family N20
		S01226	400027777413671		M. tuberculosis EAI5	Family N11
		S01227	256423777402600		M. bovis-BCG	Family N7
		S01228	757767777413631		M. tuberculosis EAI5	Family N14
		S01229	475777677413771		M. tuberculosis EAI5	Family N47
		S01230	770537777777671		M. africanum	Family N18
		S01231	777777777723771		Family33	Family N13
		S01232	777777777771771		Family33	Family N13
		S01233	777777777760371		M. tuberculosis T1	Family N24
		S01234	777177777760731		M. tuberculosis T1	Family N24
		S01235	570737777777670		M. africanum	Family N18
		S01236	000000000003761		M. tuberculosis Beijing	Family N3
		S01237	377777777760731		M. tuberculosis T1	Family N24
		S01238	760777777760731		M. tuberculosis T1	Family N24
		S01239	770077607560771		M. tuberculosis LAM3	Family N2
		S01240	477776377413771		M. tuberculosis EAI5	Family N47
		S01241	770777777747071		M. africanum	Family N18
		S01242	776303777760771		M. tuberculosis S	Family N39
		S01243	777777700003371		M. tuberculosis EAI4	Family N14
		S01244	703757740000371		M. tuberculosis CAS	Family N8
		S01245	770777707777651		M. africanum	Family N18
		S01246	677777477413761		M. tuberculosis EAI2	Family N10
		S01247	703777740003010		M. tuberculosis CAS	Family N8
		S01248	777737347760411		M. tuberculosis T1	Family N48
		S01249	777774007720771		M. tuberculosis LAM9	Family N19
		S01250	777776774020601		M. tuberculosis Haarlem1	Family N5
		S01251	637760007760771		M. tuberculosis T4	Family N16
		S01252	767777607760771		M. tuberculosis LAM9	Family N19
		S01253	777737743760771		M. tuberculosis LAM10	Family N21
		S01254	671777707413731		M. tuberculosis EAI5	Family N14
		S01255	703777000000031		M. tuberculosis EAI1	Family N15
		S01256	777777143760771		M. tuberculosis LAM10	Family N21
		S01257	557777607760771		M. tuberculosis LAM9	Family N19
		S01258	770777577377671		M. africanum	Family N18
		S01259	777700000000000		Family35	Family N29
		S01260	777777607740171		M. tuberculosis LAM9	Family N19
		S01261	077777606060771		M. tuberculosis LAM8	Family N27
		S01262	103777740000371		M. tuberculosis CAS	Family N8
		S01263	777776757413371		M. tuberculosis EAI5	Family N14
		S01264	477777777613071		M. tuberculosis EAI3	Family N1
		S01265	777406777760771		M. tuberculosis X1	Family N44
		S01266	700177777413731		M. tuberculosis EAI5	Family N14
		S01267	407777740003171		M. tuberculosis CAS	Family N8
		S01268	740000007320771		M. tuberculosis T3	Family N32
		S01269	767774077560771		M. tuberculosis H37Rv	Family N44
		S01270	077777707760731		M. tuberculosis LAM9	Family N19
		S01271	177777774003731		M. tuberculosis EAI4	Family N14
		S01272	774777770020771		M. tuberculosis Haarlem1	Family N5
		S01273	077777607760730		M. tuberculosis LAM1	Family N19
		S01274	700037750060771		M. tuberculosis X3	Family N45
		S01275	760000004020771		M. tuberculosis LAM7	Family N32
		S01276	777777317760571		M. tuberculosis T1	Family N24
		S01277	777776776360711		M. tuberculosis X1	Family N44
		S01278	777777606160771		M. tuberculosis LAM9	Family N19
		S01279	777777774060771		M. tuberculosis Haarlem1	Family N5
		S01280	677777474003771		M. tuberculosis EAI2	Family N10
		S01281	703777600003771		M. tuberculosis CAS	Family N8
		S01282	777700000001631		Family35	Family N29
		S01283	676377777760771		M. tuberculosis S	Family N39
		S01284	777736777760671		M. tuberculosis X1	Family N44
		S01285	077776775760731		M. tuberculosis X1	Family N44
		S01286	776177407760771		M. tuberculosis LAM3	Family N2
		S01287	777774606060731		M. tuberculosis LAM8	Family N27
		S01288	777777604060731		M. tuberculosis LAM8	Family N27
		S01289	774037707760700		M. tuberculosis S	Family N35
		S01290	776370001760731		M. tuberculosis LAM9	Family N16
		S01291	000000000003700		M. tuberculosis Beijing	Family N3
		S01292	477776770000000		Family34	Family N22
		S01293	677737470413771		M. tuberculosis EAI2	Family N10
1737		S01294	777760017760771		M. tuberculosis T4	Family N16
		S01295	777777777700031		M. tuberculosis Haarlem3	Family N24
		S01296	776377777740771		M. tuberculosis S	Family N39
		S01297	777477777760731		M. tuberculosis T1	Family N24
		S01298	776370001760331		M. tuberculosis LAM9	Family N16
		S01299	777577777013371		M. tuberculosis EAI5	Family N14
		S01300	677003477413771		M. tuberculosis EAI2	Family N10
		S01301	703777740003011		M. tuberculosis CAS	Family N8
		S01302	577777002060771		M. tuberculosis LAM8	Family N27
		S01303	677777607763771		Family33	Family N13
		S01304	477001777413771		M. tuberculosis EAI5	Family N47
		S01305	777707760000171		M. tuberculosis Haarlem1	Family N5
		S01306	774077407777071		M. africanum	Family N17
		S01307	477777777403071		M. tuberculosis EAI3	Family N1
209		S01308	776017607760771		M. tuberculosis LAM3	Family N2
		S01309	777777770060731		M. tuberculosis Haarlem1	Family N5
		S01310	776377776760771		M. tuberculosis S	Family N39
		S01311	000000000002771		M. tuberculosis Beijing	Family N3
		S01312	777777677777671		Family33	Family N13
		S01313	740077777777671		M. africanum	Family N18
		S01314	700036777760671		M. tuberculosis X3	Family N20
		S01315	777777434020771		M. tuberculosis Haarlem1	Family N5
		S01316	177777677766171		Family33	Family N13
		S01317	543777607760771		M. tuberculosis LAM9	Family N19
		S01318	737377777760771		M. tuberculosis T1	Family N24
		S01319	703777740003600		M. tuberculosis CAS	Family N8
		S01320	777777600040771		M. tuberculosis LAM8	Family N27
		S01321	377777743760771		M. tuberculosis LAM10	Family N21
		S01322	777774602760731		M. tuberculosis LAM9	Family N19
		S01323	774077600000031		M. tuberculosis EAI1	Family N27
		S01324	637757637760771		M. tuberculosis T1	Family N24
		S01325	777737607700351		M. tuberculosis LAM5	Family N38
		S01326	416773777000600		M. tuberculosis T2	Family N30
		S01327	760760047700771		M. tuberculosis T4	Family N16
		S01328	777777423560771		M. tuberculosis H37Rv	Family N24
		S01329	773776607760771		M. tuberculosis LAM9	Family N19
		S01330	703777740000011		M. tuberculosis EAI1	Family N8
		S01331	077776117413771		M. tuberculosis EAI5	Family N47
		S01332	777774077020771		M. tuberculosis H37Rv	Family N34
		S01333	777773777760571		M. tuberculosis T1	Family N24
		S01334	576777777720771		M. tuberculosis Haarlem3	Family N24
		S01335	703777740000171		M. tuberculosis CAS	Family N8
		S01336	777777600000171		M. tuberculosis LAM8	Family N27
		S01337	776357777760771		M. tuberculosis S	Family N39
		S01338	777740207760771		M. tuberculosis LAM9	Family N19
		S01339	677774207760711		M. tuberculosis LAM1	Family N19
		S01340	370177607760771		M. tuberculosis LAM3	Family N2
		S01341	777777774020571		M. tuberculosis Haarlem1	Family N5
		S01342	377777606060771		M. tuberculosis LAM8	Family N27
		S01343	703637740003771		M. tuberculosis CAS	Family N8
		S01344	003777400000771		M. tuberculosis CAS	Family N15
		S01345	777777743413371		M. tuberculosis EAI5	Family N14
		S01346	777777747613771		Family33	Family N13
		S01347	777777760020611		M. tuberculosis Haarlem1	Family N5
		S01348	777770077700771		M. tuberculosis H37Rv	Family N24
		S01349	774037607777071		M. africanum	Family N17
		S01350	000000007760731		Family36	Family N32
		S01351	677777471413771		M. tuberculosis EAI2	Family N10
		S01352	703737740001171		M. tuberculosis CAS	Family N8
		S01353	777737737760600		M. tuberculosis T2	Family N30
		S01354	760000003760771		M. tuberculosis T3	Family N32
		S01355	603777400001771		M. tuberculosis CAS	Family N15
		S01356	677777470003731		M. tuberculosis EAI2	Family N10
		S01357	376147607760771		M. tuberculosis LAM3	Family N2
		S01358	600017607760771		M. tuberculosis X3	Family N45
		S01359	776376777760601		M. tuberculosis X2	Family N6
		S01360	776377607760771		M. tuberculosis LAM9	Family N19
		S01361	777777747413771		M. tuberculosis EAI5	Family N14
		S01362	777676777760601		M. tuberculosis X2	Family N6
		S01363	777777777520731		M. tuberculosis Haarlem3	Family N24
		S01364	707776777760771		M. tuberculosis X1	Family N44
		S01365	657777477413771		M. tuberculosis EAI2	Family N10
		S01366	747377777760771		M. tuberculosis T1	Family N24
		S01367	764137607720771		M. tuberculosis LAM3	Family N2
		S01368	776177600000000		Family34	Family N22
		S01369	777777345760471		M. tuberculosis T1	Family N24
		S01370	717776777760771		M. tuberculosis X1	Family N44
		S01371	000000174020771		M. tuberculosis T3	Family N40
		S01372	777377777760731		M. tuberculosis T1	Family N24
		S01373	677737607620771		M. tuberculosis LAM2	Family N19
		S01374	774003777775071		M. africanum	Family N17
		S01375	776177607700171		M. tuberculosis LAM3	Family N2
		S01376	177777777413731		M. tuberculosis EAI5	Family N14
		S01377	777737777760500		M. tuberculosis T2	Family N30
		S01378	674000001613771		M. tuberculosis T4	Family N41
		S01379	000000000003071		M. tuberculosis Beijing	Family N3
		S01380	777776777560601		M. tuberculosis X2	Family N6
		S01381	777777740020731		M. tuberculosis Haarlem1	Family N5
		S01382	777777777000071		M. tuberculosis Haarlem3	Family N34
		S01383	674001777677600		M. bovis-BCG	Family N7
		S01384	703677740003171		M. tuberculosis CAS	Family N8
		S01385	703743740003471		M. tuberculosis CAS	Family N8
1938		S01386	776377777760770		M. tuberculosis S	Family N39
		S01387	770777777700670		M. tuberculosis Haarlem3	Family N24
		S01388	603777677520771		M. tuberculosis Haarlem3	Family N24
		S01389	777637763660771		M. tuberculosis T1	Family N24
		S01390	700076777760271		M. tuberculosis X3	Family N20
		S01391	000000000003401		M. tuberculosis Beijing	Family N3
		S01392	777777607760571		M. tuberculosis LAM9	Family N19
		S01393	777737777760371		M. tuberculosis T1	Family N24
		S01394	777776776360771		M. tuberculosis X1	Family N44
		S01395	777777777400011		M. tuberculosis EAI1	Family N23
		S01396	477777376013771		M. tuberculosis EAI5	Family N14
		S01397	437777774020771		M. tuberculosis Haarlem1	Family N5
		S01398	703776040000771		M. tuberculosis CAS	Family N8
		S01399	477776077413771		M. tuberculosis EAI2	Family N10
		S01400	637777777720771		M. tuberculosis Haarlem3	Family N24
		S01401	677767777760071		M. tuberculosis T1	Family N24
		S01402	774777374020771		M. tuberculosis Haarlem1	Family N5
		S01403	703700340003771		M. tuberculosis CAS	Family N8
		S01404	000000000003000		M. tuberculosis Beijing	Family N3
		S01405	776377777360771		M. tuberculosis S	Family N39
		S01406	777777774020700		M. tuberculosis Haarlem1	Family N5
		S01407	417777777620771		M. tuberculosis Haarlem3	Family N24
		S01408	777767774020731		M. tuberculosis Haarlem1	Family N5
		S01409	437777777720731		M. tuberculosis Haarlem3	Family N24
		S01410	777777603760771		M. tuberculosis LAM9	Family N19
		S01411	637737607760771		M. tuberculosis LAM2	Family N19
		S01412	700777747413771		M. tuberculosis EAI5	Family N42
		S01413	777740607760771		M. tuberculosis LAM9	Family N19
		S01414	474367777413771		M. tuberculosis EAI5	Family N47
		S01415	703777740003111		M. tuberculosis CAS	Family N8
		S01416	400000004760771		Family36	Family N32
		S01417	000000000060731		Family36	Family N32
		S01418	577777777760371		M. tuberculosis T1	Family N24
		S01419	773777207760771		M. tuberculosis LAM9	Family N19
		S01420	703777400000771		M. tuberculosis CAS	Family N15
		S01421	777737607760731		M. tuberculosis LAM9	Family N19
		S01422	777777607460731		M. tuberculosis LAM9	Family N19
		S01423	777777750400371		M. tuberculosis EAI4	Family N14
		S01424	777777740000771		M. tuberculosis Haarlem1	Family N5
		S01425	377777037720771		M. tuberculosis H37Rv	Family N24
		S01426	777737743720771		M. tuberculosis LAM10	Family N21
		S01427	777777743360771		M. tuberculosis LAM10	Family N21
		S01428	777777607540761		M. tuberculosis LAM9	Family N19
		S01429	777700770000071		M. tuberculosis Haarlem1	Family N5
		S01430	077777776020731		M. tuberculosis Haarlem1	Family N5
		S01431	677777404760771		M. tuberculosis LAM1	Family N19
		S01432	777777777600131		M. tuberculosis Haarlem3	Family N24
		S01433	777577777760731		M. tuberculosis T1	Family N24
		S01434	077777777720731		M. tuberculosis Haarlem3	Family N24
		S01435	777757777720771		M. tuberculosis Haarlem3	Family N24
		S01436	777377777720771		M. tuberculosis Haarlem3	Family N24
		S01437	700777777760771		M. tuberculosis T1	Family N24
		S01438	777776004760771		M. tuberculosis LAM9	Family N19
		S01439	177777607760771		M. tuberculosis LAM9	Family N19
		S01440	676377737760771		M. tuberculosis S	Family N39
		S01441	777776757413771		M. tuberculosis EAI5	Family N14
		S01442	657636207760771		M. tuberculosis LAM2	Family N19
		S01443	777777776360771		M. tuberculosis T1	Family N24
		S01444	707777777720771		M. tuberculosis Haarlem3	Family N24
		S01445	674000017000771		M. tuberculosis T3	Family N28
		S01446	000000007700371		Family36	Family N32
		S01447	773777600000771		M. tuberculosis LAM8	Family N27
		S01448	077737777413740		M. tuberculosis EAI5	Family N47
		S01449	717777777760771		M. tuberculosis T1	Family N24
		S01450	703777740003031		M. tuberculosis CAS	Family N8
		S01451	377777763760771		M. tuberculosis T1	Family N24
		S01452	777737404760771		M. tuberculosis LAM9	Family N19
		S01453	777760007760751		M. tuberculosis T4	Family N16
		S01454	776017407760771		M. tuberculosis LAM3	Family N2
		S01455	777777400060771		M. tuberculosis LAM8	Family N27
		S01456	777777707760351		M. tuberculosis LAM9	Family N19
		S01457	777777747760771		M. tuberculosis T1	Family N24
		S01458	777777763660771		M. tuberculosis T1	Family N24
		S01459	777677777760731		M. tuberculosis T1	Family N24
		S01460	777771777760771		M. tuberculosis T1	Family N24
		S01461	704377747413371		M. tuberculosis EAI5	Family N14
		S01462	000076777760671		M. tuberculosis X3	Family N9
		S01463	777777707760371		M. tuberculosis LAM9	Family N19
		S01464	777737777700171		M. tuberculosis Haarlem3	Family N24
		S01465	577737777420771		M. tuberculosis Haarlem3	Family N34
		S01466	676077477413771		M. tuberculosis EAI2	Family N10
		S01467	777377777413731		M. tuberculosis EAI5	Family N14
		S01468	600174207760771		M. tuberculosis LAM3	Family N42
		S01469	737700777413700		M. tuberculosis EAI5	Family N14
		S01470	776367777760731		M. tuberculosis S	Family N39
		S01471	777777006720771		M. tuberculosis LAM9	Family N19
		S01472	776777606020771		M. tuberculosis LAM8	Family N27
		S01473	477773777413071		M. tuberculosis EAI3	Family N1
		S01474	703601740003771		M. tuberculosis CAS	Family N8
		S01475	577700777760771		M. tuberculosis X1	Family N44
		S01476	777337577360771		M. tuberculosis T1	Family N24
		S01477	777777776020771		M. tuberculosis Haarlem1	Family N5
		S01478	400003743760771		M. tuberculosis X3	Family N45
		S01479	700040777760771		M. tuberculosis X3	Family N20
		S01480	703777740003760		M. tuberculosis CAS	Family N8
		S01481	777777677720771		M. tuberculosis Haarlem3	Family N24
		S01482	077777777760731		M. tuberculosis T1	Family N24
		S01483	761777777760771		M. tuberculosis T1	Family N24
		S01484	677777771760771		M. tuberculosis T1	Family N24
		S01485	674177777413751		M. tuberculosis EAI5	Family N14
		S01486	777617757413371		M. tuberculosis EAI5	Family N14
		S01487	674000003413731		M. tuberculosis EAI2	Family N41
		S01488	577777606060771		M. tuberculosis LAM8	Family N27
		S01489	000037607760771		M. tuberculosis X3	Family N45
		S01490	777764606060731		M. tuberculosis LAM8	Family N27
		S01491	633774477760730		M. tuberculosis H37Rv	Family N44
		S01492	743577777760731		M. tuberculosis T1	Family N24
		S01493	701377400001771		M. tuberculosis CAS	Family N15
		S01494	774003607740071		M. tuberculosis T3	Family N2
		S01495	774077777037071		M. africanum	Family N17
		S01496	777767743760771		M. tuberculosis LAM10	Family N21
		S01497	777775743760771		M. tuberculosis LAM10	Family N21
		S01498	377777777560731		M. tuberculosis T1	Family N24
		S01499	477777743760771		M. tuberculosis LAM10	Family N21
		S01500	777777743460731		M. tuberculosis LAM10	Family N21
		S01501	774067600000071		M. tuberculosis LAM7	Family N27
